delta_call,delta_put,strike,,,,,,
0.93614,-0.06386,197.5,,,,,,
0.92072,-0.07928,200,,,,,,
0.90157,-0.09843,202.5,,,,,,
0.86941,-0.13059,205,,,,,,
0.83593,-0.16407,207.5,,,,,,
0.78118,-0.21882,210,,,,,,
0.71731,-0.28269,212.5,,,,,,
0.64173,-0.35827,215,,,,,,
0.55093,-0.44907,217.5,,,,,,
0.5,-0.5,218.5,,,,,,
0.45222,-0.54778,220,,,,,,
0.34993,-0.65007,222.5,,,,,,
0.25544,-0.74456,225,,,,,,
0.17552,-0.82448,227.5,,,,,,
0.11699,-0.88301,230,,,,,,
0.07588,-0.92412,232.5,,,,,,
0.04996,-0.95004,235,,,,,,
0.03508,-0.96492,237.5,,,,,,
0.02489,-0.97511,240,,,,,,